State,Gender,Year,Top Name,Occurences
AK,M,2004,Ethan,65
AK,M,2005,Ethan,63
AK,M,2006,James,67
AK,M,2007,Aiden,58
AK,M,2008,James,67
AK,M,2009,Michael,58
AK,M,2010,William,57
AK,M,2011,Mason,58
AK,M,2012,James,51
AL,F,1910,Mary,875
AL,F,1911,Mary,803
AL,F,1912,Mary,1041
AL,F,1913,Mary,1125
AL,F,1914,Mary,1429
AL,F,1915,Mary,1551
AL,F,1916,Mary,1721
AL,F,1917,Mary,1824
AL,F,1918,Mary,1916
AL,F,1919,Mary,2223
AL,F,1920,Mary,2357
AL,F,1921,Mary,2319
AL,F,1922,Mary,2384
AL,F,1923,Mary,2420
AL,F,1924,Mary,2596
AL,F,1925,Mary,2693
AL,F,1926,Mary,2535
AL,F,1927,Mary,2609
AL,F,1928,Mary,2501
AL,F,1929,Mary,2339
AL,F,1930,Mary,2399
AL,F,1931,Mary,2272
AL,F,1932,Mary,2339
AL,F,1933,Mary,2103
AL,F,1934,Mary,2290
AL,F,1935,Mary,2214
AL,F,1936,Mary,2016
AL,F,1937,Mary,2155
AL,F,1938,Mary,2192
AL,F,1939,Mary,2073
AL,F,1940,Mary,2074
AL,F,1941,Mary,2099
AL,F,1942,Mary,2350
AL,F,1943,Mary,2308
AL,F,1944,Mary,2078
AL,F,1945,Mary,2081
AL,F,1946,Mary,2108
AL,F,1947,Mary,2115
AL,F,1948,Mary,2079
AL,F,1949,Mary,1973
AL,F,1950,Mary,1840
AL,F,1951,Mary,1700
AL,F,1952,Mary,1720
AL,F,1953,Mary,1498
AL,F,1954,Mary,1449
AL,F,1955,Mary,1355
AL,F,1956,Mary,1248
AL,F,1957,Mary,1222
AL,F,1958,Mary,1044
AL,F,1959,Mary,1048
AL,F,1960,Mary,982
AL,F,1961,Mary,930
AL,F,1962,Mary,821
AL,F,1963,Lisa,854
AL,F,1964,Lisa,825
AL,F,1965,Lisa,930
AL,F,1966,Lisa,795
AL,F,1967,Lisa,705
AL,F,1968,Lisa,695
AL,F,1969,Kimberly,658
AL,F,1970,Kimberly,734
AL,F,1971,Jennifer,727
AL,F,1972,Jennifer,816
AL,F,1973,Jennifer,882
AL,F,1974,Jennifer,987
AL,F,1975,Jennifer,880
AL,F,1976,Jennifer,905
AL,F,1977,Jennifer,965
AL,F,1978,Jennifer,800
AL,F,1979,Jennifer,855
AL,F,1980,Jennifer,923
AL,F,1981,Jennifer,948
AL,F,1982,Jennifer,871
AL,F,1983,Jennifer,897
AL,F,1984,Ashley,816
AL,F,1985,Ashley,980
AL,F,1986,Ashley,929
AL,F,1987,Ashley,1010
AL,F,1988,Jessica,953
AL,F,1989,Ashley,895
AL,F,1990,Ashley,824
AL,F,1991,Ashley,775
AL,F,1992,Jessica,660
AL,F,1993,Ashley,650
AL,F,1994,Ashley,508
AL,F,1995,Jessica,451
AL,F,1996,Hannah,392
AL,F,1997,Hannah,426
AL,F,1998,Hannah,458
AL,F,1999,Hannah,475
AL,F,2000,Hannah,443
AL,F,2001,Madison,418
AL,F,2002,Madison,439
AL,F,2003,Madison,408
AL,F,2004,Emma,388
AL,F,2005,Madison,403
AL,F,2006,Madison,384
AL,F,2007,Emma,380
AL,F,2008,Emma,356
AL,F,2009,Emma,336
AL,F,2010,Emma,318
AL,F,2011,Emma,282
AL,F,2012,Emma,317
AL,M,1910,James,486
AL,M,1911,James,468
AL,M,1912,James,784
AL,M,1913,James,1010
AL,M,1914,James,1222
AL,M,1915,James,1544
AL,M,1916,James,1658
AL,M,1917,James,1698
AL,M,1918,James,1874
AL,M,1919,James,2223
AL,M,1920,James,2299
AL,M,1921,James,2380
AL,M,1922,James,2533
AL,M,1923,James,2458
AL,M,1924,James,2511
AL,M,1925,James,2567
AL,M,1926,James,2658
AL,M,1927,James,2586
AL,M,1928,James,2590
AL,M,1929,James,2432
AL,M,1930,James,2398
AL,M,1931,James,2246
AL,M,1932,James,2273
AL,M,1933,James,2183
AL,M,1934,James,2291
AL,M,1935,James,2286
AL,M,1936,James,2200
AL,M,1937,James,2252
AL,M,1938,James,2243
AL,M,1939,James,2282
AL,M,1940,James,2279
AL,M,1941,James,2403
AL,M,1942,James,2737
AL,M,1943,James,2896
AL,M,1944,James,2646
AL,M,1945,James,2490
AL,M,1946,James,2707
AL,M,1947,James,3040
AL,M,1948,James,2771
AL,M,1949,James,2833
AL,M,1950,James,2664
AL,M,1951,James,2525
AL,M,1952,James,2390
AL,M,1953,James,2442
AL,M,1954,James,2254
AL,M,1955,James,2202
AL,M,1956,James,2117
AL,M,1957,James,2096
AL,M,1958,James,1838
AL,M,1959,James,1874
AL,M,1960,James,1866
AL,M,1961,James,1804
AL,M,1962,James,1648
AL,M,1963,James,1735
AL,M,1964,James,1696
AL,M,1965,James,1645
AL,M,1966,James,1493
AL,M,1967,James,1451
AL,M,1968,James,1418
AL,M,1969,James,1392
AL,M,1970,James,1452
AL,M,1971,Michael,1361
AL,M,1972,Michael,1223
AL,M,1973,Christopher,1194
AL,M,1974,Christopher,1183
AL,M,1975,Michael,1098
AL,M,1976,Michael,1055
AL,M,1977,Christopher,1020
AL,M,1978,James,961
AL,M,1979,Christopher,1067
AL,M,1980,Christopher,950
AL,M,1981,Christopher,976
AL,M,1982,Christopher,1076
AL,M,1983,Christopher,1061
AL,M,1984,Christopher,1097
AL,M,1985,Christopher,1104
AL,M,1986,Christopher,957
AL,M,1987,Christopher,913
AL,M,1988,Justin,929
AL,M,1989,Christopher,922
AL,M,1990,Christopher,938
AL,M,1991,Christopher,844
AL,M,1992,Christopher,747
AL,M,1993,Christopher,692
AL,M,1994,Christopher,673
AL,M,1995,William,628
AL,M,1996,William,628
AL,M,1997,William,594
AL,M,1998,William,701
AL,M,1999,William,671
AL,M,2000,William,655
AL,M,2001,William,618
AL,M,2002,William,618
AL,M,2003,William,616
AL,M,2004,William,639
AL,M,2005,William,550
AL,M,2006,William,608
AL,M,2007,William,551
AL,M,2008,William,536
AL,M,2009,William,508
AL,M,2010,William,495
AL,M,2011,William,445
AL,M,2012,William,436
AR,F,1910,Mary,408
AR,F,1911,Mary,386
AR,F,1912,Mary,491
AR,F,1913,Mary,527
AR,F,1914,Mary,645
AR,F,1915,Mary,837
AR,F,1916,Mary,904
AR,F,1917,Mary,958
AR,F,1918,Mary,1048
AR,F,1919,Mary,1101
AR,F,1920,Mary,1205
AR,F,1921,Mary,1190
AR,F,1922,Mary,1283
AR,F,1923,Mary,1257
AR,F,1924,Mary,1363
AR,F,1925,Mary,1403
AR,F,1926,Mary,1321
AR,F,1927,Mary,1340
AR,F,1928,Mary,1172
AR,F,1929,Mary,1240
AR,F,1930,Mary,1321
AR,F,1931,Mary,1173
AR,F,1932,Mary,1249
AR,F,1933,Mary,1149
AR,F,1934,Mary,1210
AR,F,1935,Mary,1227
AR,F,1936,Mary,1090
AR,F,1937,Mary,1147
AR,F,1938,Mary,1158
AR,F,1939,Mary,1111
AR,F,1940,Mary,1189
AR,F,1941,Mary,1223
AR,F,1942,Mary,1208
AR,F,1943,Mary,1227
AR,F,1944,Mary,1114
AR,F,1945,Mary,971
AR,F,1946,Mary,1076
AR,F,1947,Linda,1419
AR,F,1948,Linda,1423
AR,F,1949,Linda,1313
AR,F,1950,Linda,1187
AR,F,1951,Linda,982
AR,F,1952,Linda,958
AR,F,1953,Linda,776
AR,F,1954,Mary,718
AR,F,1955,Mary,682
AR,F,1956,Mary,642
AR,F,1957,Mary,669
AR,F,1958,Mary,551
AR,F,1959,Mary,502
AR,F,1960,Mary,478
AR,F,1961,Mary,441
AR,F,1962,Mary,438
AR,F,1963,Lisa,546
AR,F,1964,Lisa,510
AR,F,1965,Lisa,586
AR,F,1966,Lisa,509
AR,F,1967,Lisa,420
AR,F,1968,Lisa,411
AR,F,1969,Lisa,355
AR,F,1970,Kimberly,362
AR,F,1971,Angela,403
AR,F,1972,Jennifer,454
AR,F,1973,Jennifer,546
AR,F,1974,Jennifer,563
AR,F,1975,Jennifer,524
AR,F,1976,Jennifer,541
AR,F,1977,Jennifer,577
AR,F,1978,Jennifer,517
AR,F,1979,Amanda,589
AR,F,1980,Amanda,603
AR,F,1981,Amanda,518
AR,F,1982,Jennifer,528
AR,F,1983,Jennifer,469
AR,F,1984,Jennifer,481
AR,F,1985,Ashley,490
AR,F,1986,Ashley,553
AR,F,1987,Ashley,565
AR,F,1988,Jessica,561
AR,F,1989,Ashley,473
AR,F,1990,Jessica,453
AR,F,1991,Ashley,426
AR,F,1992,Jessica,381
AR,F,1993,Ashley,353
AR,F,1994,Ashley,294
AR,F,1995,Ashley,273
AR,F,1996,Hannah,277
AR,F,1997,Hannah,270
AR,F,1998,Hannah,266
AR,F,1999,Hannah,297
AR,F,2000,Hannah,287
AR,F,2001,Hannah,292
AR,F,2002,Madison,283
AR,F,2003,Madison,272
AR,F,2004,Madison,281
AR,F,2005,Emily,264
AR,F,2006,Madison,269
AR,F,2007,Madison,225
AR,F,2008,Madison,191
AR,F,2009,Emma,186
AR,F,2010,Emma,202
AR,F,2011,Emma,185
AR,F,2012,Emma,185
AR,M,1910,James,230
AR,M,1911,James,248
AR,M,1912,James,399
AR,M,1913,James,526
AR,M,1914,James,648
AR,M,1915,James,880
AR,M,1916,James,916
AR,M,1917,James,985
AR,M,1918,James,1157
AR,M,1919,James,1221
AR,M,1920,James,1308
AR,M,1921,James,1335
AR,M,1922,James,1419
AR,M,1923,James,1395
AR,M,1924,James,1509
AR,M,1925,James,1421
AR,M,1926,James,1457
AR,M,1927,James,1386
AR,M,1928,James,1280
AR,M,1929,James,1297
AR,M,1930,James,1244
AR,M,1931,James,1222
AR,M,1932,James,1332
AR,M,1933,James,1332
AR,M,1934,James,1358
AR,M,1935,James,1376
AR,M,1936,James,1292
AR,M,1937,James,1302
AR,M,1938,James,1368
AR,M,1939,James,1399
AR,M,1940,James,1473
AR,M,1941,James,1460
AR,M,1942,James,1615
AR,M,1943,James,1613
AR,M,1944,James,1472
AR,M,1945,James,1429
AR,M,1946,James,1584
AR,M,1947,James,1618
AR,M,1948,James,1513
AR,M,1949,James,1497
AR,M,1950,James,1429
AR,M,1951,James,1359
AR,M,1952,James,1277
AR,M,1953,James,1190
AR,M,1954,James,1137
AR,M,1955,James,1094
AR,M,1956,James,1033
AR,M,1957,James,966
AR,M,1958,James,939
AR,M,1959,James,929
AR,M,1960,James,865
AR,M,1961,James,904
AR,M,1962,James,839
AR,M,1963,James,926
AR,M,1964,James,920
AR,M,1965,James,816
AR,M,1966,James,737
AR,M,1967,James,745
AR,M,1968,James,678
AR,M,1969,Michael,684
AR,M,1970,James,714
AR,M,1971,Michael,707
AR,M,1972,Michael,708
AR,M,1973,Michael,718
AR,M,1974,Michael,720
AR,M,1975,Michael,664
AR,M,1976,Jason,643
AR,M,1977,Jason,666
AR,M,1978,Jason,593
AR,M,1979,Michael,585
AR,M,1980,Michael,597
AR,M,1981,Joshua,519
AR,M,1982,Christopher,584
AR,M,1983,Christopher,597
AR,M,1984,Christopher,585
AR,M,1985,Christopher,553
AR,M,1986,Christopher,531
AR,M,1987,Christopher,503
AR,M,1988,Christopher,509
AR,M,1989,Christopher,500
AR,M,1990,Christopher,505
AR,M,1991,Christopher,436
AR,M,1992,Christopher,375
AR,M,1993,Christopher,354
AR,M,1994,Michael,320
AR,M,1995,Tyler,313
AR,M,1996,Jacob,325
AR,M,1997,Jacob,374
AR,M,1998,Jacob,372
AR,M,1999,Jacob,339
AR,M,2000,Jacob,378
AR,M,2001,Jacob,327
AR,M,2002,Jacob,327
AR,M,2003,Jacob,286
AR,M,2004,Jacob,258
AR,M,2005,Ethan,257
AR,M,2006,William,263
AR,M,2007,William,270
AR,M,2008,Jacob,205
AR,M,2009,William,220
AR,M,2010,William,195
AR,M,2011,William,215
AR,M,2012,William,215
AZ,F,1910,Mary,74
AZ,F,1911,Mary,67
AZ,F,1912,Mary,100
AZ,F,1913,Mary,103
AZ,F,1914,Mary,133
AZ,F,1915,Mary,158
AZ,F,1916,Mary,191
AZ,F,1917,Mary,218
AZ,F,1918,Mary,272
AZ,F,1919,Mary,291
AZ,F,1920,Mary,279
AZ,F,1921,Mary,266
AZ,F,1922,Mary,252
AZ,F,1923,Mary,272
AZ,F,1924,Mary,281
AZ,F,1925,Mary,293
AZ,F,1926,Mary,301
AZ,F,1927,Mary,310
AZ,F,1928,Mary,283
AZ,F,1929,Mary,303
AZ,F,1930,Mary,286
AZ,F,1931,Mary,297
AZ,F,1932,Mary,288
AZ,F,1933,Mary,265
AZ,F,1934,Mary,287
AZ,F,1935,Mary,310
AZ,F,1936,Mary,297
AZ,F,1937,Mary,354
AZ,F,1938,Mary,334
AZ,F,1939,Mary,347
AZ,F,1940,Mary,319
AZ,F,1941,Mary,349
AZ,F,1942,Mary,353
AZ,F,1943,Mary,431
AZ,F,1944,Mary,383
AZ,F,1945,Mary,365
AZ,F,1946,Mary,385
AZ,F,1947,Linda,456
AZ,F,1948,Linda,483
AZ,F,1949,Linda,441
AZ,F,1950,Mary,415
AZ,F,1951,Mary,437
AZ,F,1952,Mary,471
AZ,F,1953,Mary,492
AZ,F,1954,Mary,466
AZ,F,1955,Mary,492
AZ,F,1956,Mary,449
AZ,F,1957,Mary,475
AZ,F,1958,Mary,458
AZ,F,1959,Mary,421
AZ,F,1960,Mary,409
AZ,F,1961,Mary,378
AZ,F,1962,Mary,360
AZ,F,1963,Lisa,383
AZ,F,1964,Mary,368
AZ,F,1965,Lisa,399
AZ,F,1966,Lisa,386
AZ,F,1967,Lisa,351
AZ,F,1968,Michelle,343
AZ,F,1969,Lisa,353
AZ,F,1970,Jennifer,374
AZ,F,1971,Jennifer,508
AZ,F,1972,Jennifer,608
AZ,F,1973,Jennifer,601
AZ,F,1974,Jennifer,641
AZ,F,1975,Jennifer,633
AZ,F,1976,Jennifer,632
AZ,F,1977,Jennifer,660
AZ,F,1978,Jennifer,612
AZ,F,1979,Jennifer,643
AZ,F,1980,Jennifer,748
AZ,F,1981,Jennifer,713
AZ,F,1982,Jennifer,652
AZ,F,1983,Jennifer,724
AZ,F,1984,Jennifer,671
AZ,F,1985,Jessica,700
AZ,F,1986,Jessica,736
AZ,F,1987,Jessica,875
AZ,F,1988,Jessica,790
AZ,F,1989,Jessica,775
AZ,F,1990,Jessica,743
AZ,F,1991,Ashley,665
AZ,F,1992,Jessica,663
AZ,F,1993,Jessica,642
AZ,F,1994,Jessica,595
AZ,F,1995,Jessica,542
AZ,F,1996,Jessica,446
AZ,F,1997,Jessica,388
AZ,F,1998,Alexis,408
AZ,F,1999,Samantha,417
AZ,F,2000,Emily,408
AZ,F,2001,Ashley,377
AZ,F,2002,Emily,404
AZ,F,2003,Emily,432
AZ,F,2004,Emily,445
AZ,F,2005,Emily,508
AZ,F,2006,Mia,505
AZ,F,2007,Isabella,452
AZ,F,2008,Isabella,465
AZ,F,2009,Isabella,540
AZ,F,2010,Isabella,553
AZ,F,2011,Sophia,556
AZ,F,2012,Sophia,579
AZ,M,1910,John,39
AZ,M,1911,John,34
AZ,M,1912,John,73
AZ,M,1913,John,64
AZ,M,1914,William,73
AZ,M,1915,John,112
AZ,M,1916,John,109
AZ,M,1917,John,131
AZ,M,1918,John,151
AZ,M,1919,John,135
AZ,M,1920,John,172
AZ,M,1921,John,149
AZ,M,1922,John,165
AZ,M,1923,John,159
AZ,M,1924,John,171
AZ,M,1925,John,177
AZ,M,1926,Robert,154
AZ,M,1927,John,198
AZ,M,1928,John,176
AZ,M,1929,Robert,192
AZ,M,1930,Robert,194
AZ,M,1931,Robert,205
AZ,M,1932,Robert,165
AZ,M,1933,Robert,146
AZ,M,1934,Robert,159
AZ,M,1935,Robert,167
AZ,M,1936,Robert,198
AZ,M,1937,Robert,198
AZ,M,1938,Robert,232
AZ,M,1939,Robert,214
AZ,M,1940,Robert,242
AZ,M,1941,Robert,264
AZ,M,1942,Robert,275
AZ,M,1943,Robert,312
AZ,M,1944,Robert,328
AZ,M,1945,Robert,315
AZ,M,1946,Robert,370
AZ,M,1947,Robert,415
AZ,M,1948,Robert,422
AZ,M,1949,John,430
AZ,M,1950,Robert,417
AZ,M,1951,Robert,470
AZ,M,1952,Robert,522
AZ,M,1953,David,543
AZ,M,1954,Robert,584
AZ,M,1955,David,610
AZ,M,1956,David,612
AZ,M,1957,David,654
AZ,M,1958,Robert,608
AZ,M,1959,David,636
AZ,M,1960,David,711
AZ,M,1961,David,712
AZ,M,1962,David,707
AZ,M,1963,David,682
AZ,M,1964,David,620
AZ,M,1965,Michael,600
AZ,M,1966,David,552
AZ,M,1967,Michael,630
AZ,M,1968,Michael,617
AZ,M,1969,Michael,727
AZ,M,1970,Michael,756
AZ,M,1971,Michael,760
AZ,M,1972,Michael,799
AZ,M,1973,Michael,751
AZ,M,1974,Michael,807
AZ,M,1975,Michael,716
AZ,M,1976,Michael,766
AZ,M,1977,Michael,715
AZ,M,1978,Michael,827
AZ,M,1979,Michael,857
AZ,M,1980,Michael,944
AZ,M,1981,Michael,954
AZ,M,1982,Michael,922
AZ,M,1983,Michael,985
AZ,M,1984,Michael,1044
AZ,M,1985,Michael,977
AZ,M,1986,Michael,992
AZ,M,1987,Michael,944
AZ,M,1988,Michael,1021
AZ,M,1989,Michael,1038
AZ,M,1990,Michael,1011
AZ,M,1991,Michael,894
AZ,M,1992,Michael,847
AZ,M,1993,Michael,736
AZ,M,1994,Michael,689
AZ,M,1995,Michael,671
AZ,M,1996,Michael,694
AZ,M,1997,Jacob,697
AZ,M,1998,Jacob,790
AZ,M,1999,Jacob,746
AZ,M,2000,Jacob,681
AZ,M,2001,Jacob,655
AZ,M,2002,Jacob,642
AZ,M,2003,Jacob,675
AZ,M,2004,Jose,624
AZ,M,2005,Angel,618
AZ,M,2006,Angel,642
AZ,M,2007,Angel,655
AZ,M,2008,Anthony,573
AZ,M,2009,Jacob,494
AZ,M,2010,Jacob,539
AZ,M,2011,Jacob,416
AZ,M,2012,Jacob,390
CA,F,1910,Mary,295
CA,F,1911,Mary,390
CA,F,1912,Mary,534
CA,F,1913,Mary,584
CA,F,1914,Mary,773
CA,F,1915,Mary,998
CA,F,1916,Mary,1091
CA,F,1917,Mary,1149
CA,F,1918,Mary,1252
CA,F,1919,Mary,1204
CA,F,1920,Mary,1554
CA,F,1921,Mary,1696
CA,F,1922,Mary,1732
CA,F,1923,Mary,1829
CA,F,1924,Mary,1959
CA,F,1925,Mary,1891
CA,F,1926,Mary,1718
CA,F,1927,Mary,1817
CA,F,1928,Mary,1787
CA,F,1929,Mary,1713
CA,F,1930,Mary,1851
CA,F,1931,Mary,1625
CA,F,1932,Barbara,1654
CA,F,1933,Barbara,1513
CA,F,1934,Mary,1590
CA,F,1935,Barbara,1521
CA,F,1936,Mary,1541
CA,F,1937,Mary,1712
CA,F,1938,Mary,1876
CA,F,1939,Mary,1699
CA,F,1940,Mary,1819
CA,F,1941,Mary,1950
CA,F,1942,Linda,2461
CA,F,1943,Mary,2929
CA,F,1944,Linda,3002
CA,F,1945,Linda,3192
CA,F,1946,Linda,3779
CA,F,1947,Linda,6756
CA,F,1948,Linda,6607
CA,F,1949,Linda,6266
CA,F,1950,Linda,5392
CA,F,1951,Linda,4881
CA,F,1952,Linda,4773
CA,F,1953,Linda,4449
CA,F,1954,Linda,4154
CA,F,1955,Debra,3965
CA,F,1956,Susan,3769
CA,F,1957,Susan,3628
CA,F,1958,Susan,3504
CA,F,1959,Mary,3192
CA,F,1960,Karen,3168
CA,F,1961,Lisa,3765
CA,F,1962,Lisa,3972
CA,F,1963,Lisa,4940
CA,F,1964,Lisa,4803
CA,F,1965,Lisa,4926
CA,F,1966,Lisa,4928
CA,F,1967,Lisa,4623
CA,F,1968,Lisa,4493
CA,F,1969,Lisa,4173
CA,F,1970,Jennifer,4695
CA,F,1971,Jennifer,5455
CA,F,1972,Jennifer,6068
CA,F,1973,Jennifer,5648
CA,F,1974,Jennifer,5674
CA,F,1975,Jennifer,5322
CA,F,1976,Jennifer,5572
CA,F,1977,Jennifer,5541
CA,F,1978,Jennifer,5293
CA,F,1979,Jennifer,5461
CA,F,1980,Jennifer,5611
CA,F,1981,Jennifer,5625
CA,F,1982,Jennifer,5815
CA,F,1983,Jennifer,5827
CA,F,1984,Jennifer,5518
CA,F,1985,Jessica,5533
CA,F,1986,Jessica,5961
CA,F,1987,Jessica,6844
CA,F,1988,Jessica,6489
CA,F,1989,Jessica,6531
CA,F,1990,Jessica,6628
CA,F,1991,Jessica,6951
CA,F,1992,Jessica,6339
CA,F,1993,Jessica,5545
CA,F,1994,Jessica,5304
CA,F,1995,Jessica,4622
CA,F,1996,Jessica,3834
CA,F,1997,Jessica,3217
CA,F,1998,Jessica,2844
CA,F,1999,Emily,2825
CA,F,2000,Emily,2958
CA,F,2001,Emily,2927
CA,F,2002,Emily,3018
CA,F,2003,Emily,3415
CA,F,2004,Emily,3415
CA,F,2005,Emily,3280
CA,F,2006,Emily,3098
CA,F,2007,Emily,2957
CA,F,2008,Isabella,2787
CA,F,2009,Isabella,3154
CA,F,2010,Isabella,3361
CA,F,2011,Sophia,3550
CA,F,2012,Sophia,3617
CA,M,1910,John,237
CA,M,1911,John,214
CA,M,1912,John,501
CA,M,1913,John,614
CA,M,1914,John,769
CA,M,1915,John,1034
CA,M,1916,John,1085
CA,M,1917,John,1066
CA,M,1918,Robert,1270
CA,M,1919,Robert,1346
CA,M,1920,Robert,1822
CA,M,1921,Robert,1874
CA,M,1922,Robert,2117
CA,M,1923,Robert,2257
CA,M,1924,Robert,2583
CA,M,1925,Robert,2510
CA,M,1926,Robert,2487
CA,M,1927,Robert,2487
CA,M,1928,Robert,2386
CA,M,1929,Robert,2424
CA,M,1930,Robert,2459
CA,M,1931,Robert,2414
CA,M,1932,Robert,2304
CA,M,1933,Robert,2137
CA,M,1934,Robert,2198
CA,M,1935,Robert,2261
CA,M,1936,Robert,2548
CA,M,1937,Robert,2881
CA,M,1938,Robert,2927
CA,M,1939,Robert,2850
CA,M,1940,Robert,3123
CA,M,1941,Robert,3374
CA,M,1942,Robert,4013
CA,M,1943,Robert,4659
CA,M,1944,Robert,4631
CA,M,1945,Robert,4974
CA,M,1946,Robert,5515
CA,M,1947,Robert,6179
CA,M,1948,Robert,5879
CA,M,1949,Robert,5953
CA,M,1950,Robert,6027
