num_critic_for_reviews,duration,gross,movie_title,num_voted_users,movie_imdb_link,num_user_for_reviews,country,content_rating,budget,title_year,imdb_score
105,109,8355815,Death to Smoochy ,34730,http://www.imdb.com/title/tt0266452/?ref_=fn_tt_tt_1,341,UK,R,55000000,2002,6.4
226,102,28837115,Zoolander 2 ,34964,http://www.imdb.com/title/tt1608290/?ref_=fn_tt_tt_1,150,USA,PG-13,50000000,2016,4.8
389,137,281666058,The Hunger Games: Mockingjay - Part 2 ,166137,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,383,USA,PG-13,160000000,2015,6.6
75,88,6471394,The Big Bounce ,15880,http://www.imdb.com/title/tt0315824/?ref_=fn_tt_tt_1,93,USA,PG-13,50000000,2004,4.9
82,87,6291602,What Planet Are You From? ,8070,http://www.imdb.com/title/tt0181151/?ref_=fn_tt_tt_1,91,USA,R,50000000,2000,5.6
296,104,10706786,Drive Angry ,81800,http://www.imdb.com/title/tt1502404/?ref_=fn_tt_tt_1,211,USA,R,50000000,2011,5.5
103,96,8742261,Street Fighter: The Legend of Chun-Li ,19824,http://www.imdb.com/title/tt0891592/?ref_=fn_tt_tt_1,179,Canada,PG-13,18000000,2009,3.7
98,85,43905746,The One ,77684,http://www.imdb.com/title/tt0267804/?ref_=fn_tt_tt_1,294,USA,PG-13,49000000,2001,5.9
195,135,7994115,Pirate Radio ,90932,http://www.imdb.com/title/tt1131729/?ref_=fn_tt_tt_1,209,UK,R,NA,2009,7.4
223,190,124107476,Traffic ,170684,http://www.imdb.com/title/tt0181865/?ref_=fn_tt_tt_1,867,USA,R,48000000,2000,7.6
235,109,63143812,The Sorcerer's Apprentice ,124185,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,238,USA,PG,150000000,2010,6.1
324,129,12802907,Anna Karenina ,70886,http://www.imdb.com/title/tt1781769/?ref_=fn_tt_tt_1,226,UK,R,NA,2012,6.6
371,120,31569268,Chappie ,172965,http://www.imdb.com/title/tt1823672/?ref_=fn_tt_tt_1,627,USA,R,49000000,2015,6.9
233,112,95308367,Panic Room ,206104,http://www.imdb.com/title/tt0258000/?ref_=fn_tt_tt_1,850,USA,R,48000000,2002,6.8
32,89,NA,The Tooth Fairy ,1263,http://www.imdb.com/title/tt0473553/?ref_=fn_tt_tt_1,32,USA,NA,1500000,2006,4.6
172,137,1206135,Child 44 ,40568,http://www.imdb.com/title/tt1014763/?ref_=fn_tt_tt_1,185,Czech Republic,R,50000000,2015,6.4
103,112,56607223,Rat Race ,93367,http://www.imdb.com/title/tt0250687/?ref_=fn_tt_tt_1,497,Canada,PG-13,48000000,2001,6.4
140,120,50173190,K-PAX ,148490,http://www.imdb.com/title/tt0272152/?ref_=fn_tt_tt_1,537,USA,PG-13,48000000,2001,7.4
125,123,47095453,Kate & Leopold ,64595,http://www.imdb.com/title/tt0035423/?ref_=fn_tt_tt_1,316,USA,PG-13,48000000,2001,6.4
231,98,60655503,Poseidon ,82380,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,629,USA,PG-13,160000000,2006,5.6
125,93,37879996,Bedazzled ,81888,http://www.imdb.com/title/tt0230030/?ref_=fn_tt_tt_1,254,USA,PG-13,48000000,2000,6
295,122,53574088,3:10 to Yuma ,237872,http://www.imdb.com/title/tt0381849/?ref_=fn_tt_tt_1,560,USA,R,55000000,2007,7.8
222,115,89253340,Taken 3 ,133436,http://www.imdb.com/title/tt2446042/?ref_=fn_tt_tt_1,323,France,PG-13,48000000,2014,6
89,132,29781453,Riding in Cars with Boys ,22447,http://www.imdb.com/title/tt0200027/?ref_=fn_tt_tt_1,210,USA,PG-13,48000000,2001,6.4
218,113,76846624,Alice Through the Looking Glass ,21352,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,131,USA,PG,170000000,2016,6.4
93,75,15519841,Happily N'Ever After ,8693,http://www.imdb.com/title/tt0308353/?ref_=fn_tt_tt_1,71,USA,PG,47000000,2006,4.5
142,102,93607673,America's Sweethearts ,47573,http://www.imdb.com/title/tt0265029/?ref_=fn_tt_tt_1,343,USA,PG-13,48000000,2001,5.7
185,118,67263182,Insomnia ,218771,http://www.imdb.com/title/tt0278504/?ref_=fn_tt_tt_1,651,USA,R,46000000,2002,7.2
178,81,10539414,Jonah Hex ,45729,http://www.imdb.com/title/tt1075747/?ref_=fn_tt_tt_1,176,USA,PG-13,47000000,2010,4.7
227,93,320706665,Shrek the Third ,211971,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,326,USA,PG,160000000,2007,6.1
72,127,14946229,The Infiltrator ,2581,http://www.imdb.com/title/tt1355631/?ref_=fn_tt_tt_1,29,UK,R,25000000,2016,7.3
358,98,139852971,Taken 2 ,238671,http://www.imdb.com/title/tt1397280/?ref_=fn_tt_tt_1,461,France,PG-13,45000000,2012,6.3
151,84,110000082,Scary Movie 3 ,111526,http://www.imdb.com/title/tt0306047/?ref_=fn_tt_tt_1,347,USA,PG-13,48000000,2003,5.5
140,109,106807667,Miss Congeniality ,137377,http://www.imdb.com/title/tt0212346/?ref_=fn_tt_tt_1,370,USA,PG-13,45000000,2000,6.2
201,93,101702060,Journey to the Center of the Earth ,85323,http://www.imdb.com/title/tt0373051/?ref_=fn_tt_tt_1,212,USA,PG,45000000,2008,5.8
77,113,95149435,The Princess Diaries 2: Royal Engagement ,53687,http://www.imdb.com/title/tt0368933/?ref_=fn_tt_tt_1,152,USA,G,40000000,2004,5.7
275,123,46978995,Warcraft ,111609,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1,781,USA,PG-13,160000000,2016,7.3
207,97,93452056,The Bucket List ,184795,http://www.imdb.com/title/tt0825232/?ref_=fn_tt_tt_1,310,USA,PG-13,45000000,2007,7.4
132,101,82931301,Monster-in-Law ,43358,http://www.imdb.com/title/tt0369735/?ref_=fn_tt_tt_1,228,Germany,PG-13,60000000,2005,5.5
454,153,60962878,Prisoners ,383591,http://www.imdb.com/title/tt1392214/?ref_=fn_tt_tt_1,620,USA,R,46000000,2013,8.1
109,122,76261036,Training Day ,305929,http://www.imdb.com/title/tt0139654/?ref_=fn_tt_tt_1,633,USA,R,45000000,2001,7.7
127,83,71277420,Scary Movie 2 ,119590,http://www.imdb.com/title/tt0257106/?ref_=fn_tt_tt_1,548,USA,R,45000000,2001,5.2
398,103,88625922,The Muppets ,75176,http://www.imdb.com/title/tt1204342/?ref_=fn_tt_tt_1,252,USA,PG,45000000,2011,7.1
474,126,89732035,Terminator Genisys ,188457,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1,867,USA,PG-13,155000000,2015,6.6
127,136,67253092,Coach Carter ,92702,http://www.imdb.com/title/tt0393162/?ref_=fn_tt_tt_1,209,USA,PG-13,30000000,2005,7.2
167,91,66790248,Changing Lanes ,57281,http://www.imdb.com/title/tt0264472/?ref_=fn_tt_tt_1,350,USA,R,45000000,2002,6.5
155,107,60786269,Coyote Ugly ,90539,http://www.imdb.com/title/tt0200550/?ref_=fn_tt_tt_1,379,USA,PG-13,45000000,2000,5.6
218,129,59365105,Love Actually ,318634,http://www.imdb.com/title/tt0314331/?ref_=fn_tt_tt_1,1004,UK,R,45000000,2003,7.7
208,122,31598308,From Hell ,124765,http://www.imdb.com/title/tt0120681/?ref_=fn_tt_tt_1,541,USA,R,35000000,2001,6.8
434,169,200069408,Superman Returns ,240396,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,2367,USA,PG-13,209000000,2006,6.1
228,113,104383624,The Chronicles of Narnia: The Voyage of the Dawn Treader ,106446,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1,227,USA,PG,155000000,2010,6.3
94,95,52580895,Kicking & Screaming ,30255,http://www.imdb.com/title/tt0384642/?ref_=fn_tt_tt_1,118,USA,PG,45000000,2005,5.6
276,109,51019112,The Hitchhiker's Guide to the Galaxy ,155745,http://www.imdb.com/title/tt0371724/?ref_=fn_tt_tt_1,1053,USA,PG,50000000,2005,6.8
59,93,48114556,Fat Albert ,9380,http://www.imdb.com/title/tt0396592/?ref_=fn_tt_tt_1,91,USA,PG,26000000,2004,4.3
216,94,50648679,Resident Evil: Extinction ,149549,http://www.imdb.com/title/tt0432021/?ref_=fn_tt_tt_1,348,France,R,45000000,2007,6.3
173,117,46280507,Blended ,87165,http://www.imdb.com/title/tt1086772/?ref_=fn_tt_tt_1,184,USA,PG-13,40000000,2014,6.5
99,112,38360195,Last Holiday ,21215,http://www.imdb.com/title/tt0408985/?ref_=fn_tt_tt_1,116,USA,PG-13,45000000,2006,6.4
339,141,47307550,Savages ,104301,http://www.imdb.com/title/tt1615065/?ref_=fn_tt_tt_1,269,USA,R,45000000,2012,6.5
127,94,32003620,Cellular ,79141,http://www.imdb.com/title/tt0337921/?ref_=fn_tt_tt_1,355,USA,PG-13,25000000,2004,6.5
191,184,198539855,Pearl Harbor ,254111,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1,1999,USA,PG-13,140000000,2001,6.1
122,87,27972410,Johnny English ,114692,http://www.imdb.com/title/tt0274166/?ref_=fn_tt_tt_1,285,UK,PG,35000000,2003,6.1
105,88,28133159,The Ant Bully ,30055,http://www.imdb.com/title/tt0429589/?ref_=fn_tt_tt_1,70,USA,PG,50000000,2006,5.9
156,133,24343673,Across the Universe ,91860,http://www.imdb.com/title/tt0445922/?ref_=fn_tt_tt_1,524,USA,PG-13,45000000,2007,7.4
323,119,22877808,Revolutionary Road ,152591,http://www.imdb.com/title/tt0959337/?ref_=fn_tt_tt_1,414,USA,R,35000000,2008,7.3
199,102,36883539,16 Blocks ,112769,http://www.imdb.com/title/tt0450232/?ref_=fn_tt_tt_1,305,Germany,PG-13,52000000,2006,6.6
164,101,22531698,Babylon A.D. ,81523,http://www.imdb.com/title/tt0364970/?ref_=fn_tt_tt_1,214,France,PG-13,70000000,2008,5.6
82,86,25200412,Aliens in the Attic ,16580,http://www.imdb.com/title/tt0775552/?ref_=fn_tt_tt_1,55,USA,PG,45000000,2009,5.4
396,144,318759914,Transformers ,513158,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1,1782,USA,PG-13,150000000,2007,7.1
150,124,19719930,The Pledge ,42621,http://www.imdb.com/title/tt0237572/?ref_=fn_tt_tt_1,531,USA,R,45000000,2001,6.8
168,134,19377727,The Producers ,35140,http://www.imdb.com/title/tt0395251/?ref_=fn_tt_tt_1,409,USA,PG-13,45000000,2005,6.4
432,95,13401683,Dredd ,203461,http://www.imdb.com/title/tt1343727/?ref_=fn_tt_tt_1,588,UK,R,35000000,2012,7.1
85,220,15527125,All the Pretty Horses ,11388,http://www.imdb.com/title/tt0149624/?ref_=fn_tt_tt_1,183,USA,PG-13,57000000,2000,5.8
343,128,15523168,The Ghost Writer ,132423,http://www.imdb.com/title/tt1139328/?ref_=fn_tt_tt_1,349,France,PG-13,45000000,2010,7.2
158,160,7916887,Miracle at St. Anna ,15697,http://www.imdb.com/title/tt1046997/?ref_=fn_tt_tt_1,182,USA,R,45000000,2008,6
189,114,6565495,Curse of the Golden Flower ,36455,http://www.imdb.com/title/tt0473444/?ref_=fn_tt_tt_1,229,China,R,45000000,2006,7
248,206,34293771,Alexander ,138863,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,1390,Germany,R,155000000,2004,5.5
125,99,15279680,Bangkok Dangerous ,48245,http://www.imdb.com/title/tt0814022/?ref_=fn_tt_tt_1,154,USA,R,40000000,2008,5.4
87,74,7262288,Big Trouble ,17307,http://www.imdb.com/title/tt0246464/?ref_=fn_tt_tt_1,186,USA,PG-13,40000000,2002,6.5
115,139,4584886,Love in the Time of Cholera ,19114,http://www.imdb.com/title/tt0484740/?ref_=fn_tt_tt_1,115,USA,R,45000000,2007,6.4
152,101,8129455,Johnny English Reborn ,89568,http://www.imdb.com/title/tt1634122/?ref_=fn_tt_tt_1,142,USA,PG,45000000,2011,6.3
12,91,NA,Foodfight! ,4377,http://www.imdb.com/title/tt0249516/?ref_=fn_tt_tt_1,66,USA,PG,65000000,2012,1.7
656,130,136019448,Argo ,452465,http://www.imdb.com/title/tt1024648/?ref_=fn_tt_tt_1,695,USA,R,44500000,2012,7.7
161,110,67061228,The Bounty Hunter ,96565,http://www.imdb.com/title/tt1038919/?ref_=fn_tt_tt_1,135,USA,PG-13,40000000,2010,5.5
329,138,292000866,Harry Potter and the Order of the Phoenix ,355137,http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1,1108,UK,PG-13,150000000,2007,7.5
206,102,62318875,Underworld: Evolution ,156225,http://www.imdb.com/title/tt0401855/?ref_=fn_tt_tt_1,502,USA,R,50000000,2006,6.8
159,110,5773519,Victor Frankenstein ,28618,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,91,USA,PG-13,40000000,2015,6
137,136,51768623,Finding Forrester ,73006,http://www.imdb.com/title/tt0181536/?ref_=fn_tt_tt_1,297,USA,PG-13,43000000,2000,7.3
116,103,37035515,28 Days ,34597,http://www.imdb.com/title/tt0191754/?ref_=fn_tt_tt_1,194,USA,PG-13,43000000,2000,6
177,103,24520892,Unleashed ,85198,http://www.imdb.com/title/tt0342258/?ref_=fn_tt_tt_1,303,France,R,45000000,2005,7
295,157,289994397,Harry Potter and the Goblet of Fire ,385670,http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1,1896,UK,PG-13,150000000,2005,7.6
99,90,24430272,The Sweetest Thing ,46158,http://www.imdb.com/title/tt0253867/?ref_=fn_tt_tt_1,403,USA,R,43000000,2002,5.1
117,99,31136950,Charlie St. Cloud ,47364,http://www.imdb.com/title/tt1438254/?ref_=fn_tt_tt_1,75,USA,PG-13,44000000,2010,6.5
252,93,29113588,The Mechanic ,117999,http://www.imdb.com/title/tt0472399/?ref_=fn_tt_tt_1,181,USA,R,40000000,2011,6.6
375,109,138447667,21 Jump Street ,408302,http://www.imdb.com/title/tt1232829/?ref_=fn_tt_tt_1,345,USA,R,42000000,2012,7.2
187,84,106793915,Chicken Run ,140499,http://www.imdb.com/title/tt0120630/?ref_=fn_tt_tt_1,358,UK,G,45000000,2000,7
108,90,87856565,Along Came Polly ,106909,http://www.imdb.com/title/tt0343135/?ref_=fn_tt_tt_1,268,USA,PG-13,42000000,2004,5.9
270,123,159578352,The Heat ,133177,http://www.imdb.com/title/tt2404463/?ref_=fn_tt_tt_1,380,USA,R,43000000,2013,6.6
318,102,227946274,Hancock ,343648,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1,590,USA,PG-13,150000000,2008,6.4
154,105,45290318,Here Comes the Boom ,74169,http://www.imdb.com/title/tt1648179/?ref_=fn_tt_tt_1,112,USA,PG,42000000,2012,6.5
114,115,41543207,High Crimes ,30077,http://www.imdb.com/title/tt0257756/?ref_=fn_tt_tt_1,175,USA,PG-13,42000000,2002,6.3
166,119,35228696,The Mothman Prophecies ,63677,http://www.imdb.com/title/tt0265349/?ref_=fn_tt_tt_1,460,USA,PG-13,32000000,2002,6.5
288,81,59992760,Brüno ,119622,http://www.imdb.com/title/tt0889583/?ref_=fn_tt_tt_1,396,USA,R,42000000,2009,5.8
291,100,37652565,Red Riding Hood ,91151,http://www.imdb.com/title/tt1486185/?ref_=fn_tt_tt_1,283,USA,PG-13,42000000,2011,5.4
151,120,24375436,15 Minutes ,42547,http://www.imdb.com/title/tt0179626/?ref_=fn_tt_tt_1,265,USA,R,42000000,2001,6.1
323,104,256386216,I Am Legend ,530870,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1,1413,USA,PG-13,150000000,2007,7.2
168,122,24127895,Lord of War ,248123,http://www.imdb.com/title/tt0399295/?ref_=fn_tt_tt_1,437,USA,R,50000000,2005,7.6
283,80,84961,Hero ,149414,http://www.imdb.com/title/tt0299977/?ref_=fn_tt_tt_1,841,China,PG-13,31000000,2002,7.9
127,91,26404753,One for the Money ,34203,http://www.imdb.com/title/tt1598828/?ref_=fn_tt_tt_1,169,USA,PG-13,40000000,2012,5.3
293,112,6105175,The Interview ,247020,http://www.imdb.com/title/tt2788710/?ref_=fn_tt_tt_1,835,USA,R,44000000,2014,6.6
95,100,5664251,The Warrior's Way ,22309,http://www.imdb.com/title/tt1032751/?ref_=fn_tt_tt_1,102,New Zealand,R,45000000,2010,6.3
213,105,1260917,Micmacs ,24657,http://www.imdb.com/title/tt1149361/?ref_=fn_tt_tt_1,71,France,R,27000000,2009,7.2
119,110,116724075,8 Mile ,187181,http://www.imdb.com/title/tt0298203/?ref_=fn_tt_tt_1,564,USA,R,41000000,2002,7
9,101,NA,Animal Kingdom: Let's go Ape ,590,http://www.imdb.com/title/tt1220911/?ref_=fn_tt_tt_1,5,France,NA,NA,2015,4.9
167,144,56083966,A Knight's Tale ,137003,http://www.imdb.com/title/tt0183790/?ref_=fn_tt_tt_1,658,USA,PG-13,65000000,2001,6.9
276,115,206456431,Charlie and the Chocolate Factory ,320284,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1,1361,USA,PG,150000000,2005,6.7
98,108,22108977,The Medallion ,29861,http://www.imdb.com/title/tt0288045/?ref_=fn_tt_tt_1,132,Hong Kong,PG-13,41000000,2003,5.2
258,102,18600911,Man on a Ledge ,125198,http://www.imdb.com/title/tt1568338/?ref_=fn_tt_tt_1,153,USA,PG-13,42000000,2012,6.6
108,100,7204138,The Big Year ,34809,http://www.imdb.com/title/tt1053810/?ref_=fn_tt_tt_1,125,USA,PG,41000000,2011,6.2
538,138,150117807,American Hustle ,358416,http://www.imdb.com/title/tt1800241/?ref_=fn_tt_tt_1,751,USA,R,40000000,2013,7.3
224,108,163947053,The Proposal ,227824,http://www.imdb.com/title/tt1041829/?ref_=fn_tt_tt_1,273,USA,PG-13,40000000,2009,6.7
433,89,126546825,Lucy ,327367,http://www.imdb.com/title/tt2872732/?ref_=fn_tt_tt_1,918,France,R,40000000,2014,6.4
318,111,206435493,Ratatouille ,473887,http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1,626,USA,G,150000000,2007,8
362,129,166147885,Fifty Shades of Grey ,220020,http://www.imdb.com/title/tt2322441/?ref_=fn_tt_tt_1,1360,USA,R,40000000,2015,4.1
93,84,111760631,Spy Kids 3-D: Game Over ,40227,http://www.imdb.com/title/tt0338459/?ref_=fn_tt_tt_1,188,USA,PG,38000000,2003,4.1
104,94,138614544,Cheaper by the Dozen ,75152,http://www.imdb.com/title/tt0349205/?ref_=fn_tt_tt_1,288,USA,PG,40000000,2003,5.8
319,121,125069696,Lone Survivor ,203963,http://www.imdb.com/title/tt1091191/?ref_=fn_tt_tt_1,420,USA,R,40000000,2013,7.6
300,134,102310175,The Conjuring 2 ,64989,http://www.imdb.com/title/tt3065204/?ref_=fn_tt_tt_1,279,USA,R,40000000,2016,7.8
556,120,96917897,The Social Network ,479453,http://www.imdb.com/title/tt1285016/?ref_=fn_tt_tt_1,696,USA,PG-13,40000000,2010,7.7
161,129,93952276,He's Just Not That Into You ,132048,http://www.imdb.com/title/tt1001508/?ref_=fn_tt_tt_1,203,USA,PG-13,40000000,2009,6.4
151,89,90703745,Scary Movie 4 ,93748,http://www.imdb.com/title/tt0362120/?ref_=fn_tt_tt_1,410,USA,PG-13,45000000,2006,5.1
403,106,168368427,Quantum of Solace ,330784,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,1243,UK,PG-13,200000000,2008,6.7
478,128,205343774,Batman Begins ,980946,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1,2685,USA,PG-13,150000000,2005,8.3
212,116,89138076,Scream 3 ,98535,http://www.imdb.com/title/tt0134084/?ref_=fn_tt_tt_1,734,USA,R,40000000,2000,5.5
173,107,90353764,Get Hard ,85629,http://www.imdb.com/title/tt2561572/?ref_=fn_tt_tt_1,144,USA,R,40000000,2015,6
252,123,94125426,Julie & Julia ,79264,http://www.imdb.com/title/tt1135503/?ref_=fn_tt_tt_1,277,USA,PG-13,40000000,2009,7
216,128,95001343,42 ,66511,http://www.imdb.com/title/tt0453562/?ref_=fn_tt_tt_1,200,USA,PG-13,40000000,2013,7.5
218,109,86208010,Dumb and Dumber To ,97045,http://www.imdb.com/title/tt2096672/?ref_=fn_tt_tt_1,285,USA,PG-13,35000000,2014,5.7
118,120,81593527,Eight Below ,48806,http://www.imdb.com/title/tt0397313/?ref_=fn_tt_tt_1,263,USA,PG,40000000,2006,7.3
241,121,75274748,The Intern ,130661,http://www.imdb.com/title/tt2361509/?ref_=fn_tt_tt_1,304,USA,PG-13,35000000,2015,7.2
167,89,179982968,Madagascar: Escape 2 Africa ,146019,http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1,119,USA,PG,150000000,2008,6.7
119,102,90835030,Ride Along 2 ,28621,http://www.imdb.com/title/tt2869728/?ref_=fn_tt_tt_1,58,USA,PG-13,40000000,2016,5.9
209,178,75305995,Ray ,110394,http://www.imdb.com/title/tt0350258/?ref_=fn_tt_tt_1,433,USA,PG-13,40000000,2004,7.7
374,147,74098862,Sin City ,656640,http://www.imdb.com/title/tt0401792/?ref_=fn_tt_tt_1,1732,USA,R,40000000,2005,8.1
235,90,72266306,Vantage Point ,127528,http://www.imdb.com/title/tt0443274/?ref_=fn_tt_tt_1,422,USA,PG-13,40000000,2008,6.6
215,105,71347010,"I Love You, Man ",166194,http://www.imdb.com/title/tt1155056/?ref_=fn_tt_tt_1,215,USA,R,40000000,2009,7.1
109,114,70836296,Shallow Hal ,109445,http://www.imdb.com/title/tt0256380/?ref_=fn_tt_tt_1,426,USA,PG-13,40000000,2001,5.9
65,99,70163652,Big Momma's House 2 ,31968,http://www.imdb.com/title/tt0421729/?ref_=fn_tt_tt_1,82,USA,PG-13,40000000,2006,4.6
125,123,66808615,The Mexican ,87351,http://www.imdb.com/title/tt0236493/?ref_=fn_tt_tt_1,344,USA,R,34000000,2001,6.1
185,105,177243721,Night at the Museum: Battle of the Smithsonian ,130272,http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1,209,USA,PG,150000000,2009,5.9
322,137,115603980,Unbroken ,103589,http://www.imdb.com/title/tt1809398/?ref_=fn_tt_tt_1,351,USA,PG-13,65000000,2014,7.2
191,102,64149837,17 Again ,146899,http://www.imdb.com/title/tt0974661/?ref_=fn_tt_tt_1,185,USA,PG-13,20000000,2009,6.4
191,109,83906114,The Other Woman ,104481,http://www.imdb.com/title/tt2203939/?ref_=fn_tt_tt_1,189,USA,PG-13,40000000,2014,6
221,82,66466372,The Final Destination ,75345,http://www.imdb.com/title/tt1144884/?ref_=fn_tt_tt_1,290,USA,R,40000000,2009,5.2
459,142,72306065,Bridge of Spies ,178118,http://www.imdb.com/title/tt3682448/?ref_=fn_tt_tt_1,355,USA,PG-13,40000000,2015,7.6
131,106,59068786,Behind Enemy Lines ,86902,http://www.imdb.com/title/tt0159273/?ref_=fn_tt_tt_1,411,USA,PG-13,40000000,2001,6.4
222,114,60923325,Get Him to the Greek ,147317,http://www.imdb.com/title/tt1226229/?ref_=fn_tt_tt_1,197,USA,R,NA,2010,6.4
118,106,57887882,Shall We Dance ,35508,http://www.imdb.com/title/tt0358135/?ref_=fn_tt_tt_1,211,USA,PG-13,50000000,2004,6.1
350,119,179883016,X-Men Origins: Wolverine ,361924,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1,641,USA,PG-13,150000000,2009,6.7
138,131,54228104,The Count of Monte Cristo ,104991,http://www.imdb.com/title/tt0245844/?ref_=fn_tt_tt_1,544,UK,PG-13,35000000,2002,7.7
274,118,57981889,The Lincoln Lawyer ,173848,http://www.imdb.com/title/tt1189340/?ref_=fn_tt_tt_1,203,USA,R,40000000,2011,7.3
349,113,61094903,Unknown ,210542,http://www.imdb.com/title/tt1401152/?ref_=fn_tt_tt_1,332,UK,PG-13,30000000,2011,6.9
341,130,53082743,The Prestige ,844052,http://www.imdb.com/title/tt0482571/?ref_=fn_tt_tt_1,1100,USA,PG-13,40000000,2006,8.5
196,116,54414716,Horrible Bosses 2 ,114294,http://www.imdb.com/title/tt2170439/?ref_=fn_tt_tt_1,187,USA,R,42000000,2014,6.3
