"","num_critic_for_reviews","duration","gross","movie_title","num_voted_users","movie_imdb_link","num_user_for_reviews","country","content_rating","budget","title_year","imdb_score"
"50",371,120,31569268,"Chappie ",172965,"http://www.imdb.com/title/tt1823672/?ref_=fn_tt_tt_1",627,"USA","R",49000000,2015,6.9
"51",75,118,66488090,"The Bone Collector ",120202,"http://www.imdb.com/title/tt0145681/?ref_=fn_tt_tt_1",397,"USA","R",48000000,1999,6.7
"52",233,112,95308367,"Panic Room ",206104,"http://www.imdb.com/title/tt0258000/?ref_=fn_tt_tt_1",850,"USA","R",48000000,2002,6.8
"53",32,89,NA,"The Tooth Fairy ",1263,"http://www.imdb.com/title/tt0473553/?ref_=fn_tt_tt_1",32,"USA",NA,1500000,2006,4.6
"54",150,114,60652036,"Three Kings ",137854,"http://www.imdb.com/title/tt0120188/?ref_=fn_tt_tt_1",560,"USA","R",48000000,1999,7.1
"55",172,137,1206135,"Child 44 ",40568,"http://www.imdb.com/title/tt1014763/?ref_=fn_tt_tt_1",185,"Czech Republic","R",50000000,2015,6.4
"56",103,112,56607223,"Rat Race ",93367,"http://www.imdb.com/title/tt0250687/?ref_=fn_tt_tt_1",497,"Canada","PG-13",48000000,2001,6.4
"57",140,120,50173190,"K-PAX ",148490,"http://www.imdb.com/title/tt0272152/?ref_=fn_tt_tt_1",537,"USA","PG-13",48000000,2001,7.4
"58",125,123,47095453,"Kate & Leopold ",64595,"http://www.imdb.com/title/tt0035423/?ref_=fn_tt_tt_1",316,"USA","PG-13",48000000,2001,6.4
"59",231,98,60655503,"Poseidon ",82380,"http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1",629,"USA","PG-13",160000000,2006,5.6
"60",125,93,37879996,"Bedazzled ",81888,"http://www.imdb.com/title/tt0230030/?ref_=fn_tt_tt_1",254,"USA","PG-13",48000000,2000,6
"61",36,123,25900000,"The Cotton Club ",12771,"http://www.imdb.com/title/tt0087089/?ref_=fn_tt_tt_1",84,"USA","R",58000000,1984,6.5
"62",295,122,53574088,"3:10 to Yuma ",237872,"http://www.imdb.com/title/tt0381849/?ref_=fn_tt_tt_1",560,"USA","R",55000000,2007,7.8
"63",222,115,89253340,"Taken 3 ",133436,"http://www.imdb.com/title/tt2446042/?ref_=fn_tt_tt_1",323,"France","PG-13",48000000,2014,6
"64",158,123,37339525,"Out of Sight ",71708,"http://www.imdb.com/title/tt0120780/?ref_=fn_tt_tt_1",307,"USA","R",48000000,1998,7
"65",72,96,60154431,"The Cable Guy ",122347,"http://www.imdb.com/title/tt0115798/?ref_=fn_tt_tt_1",345,"USA","PG-13",47000000,1996,6
"66",34,110,528972,"Earth ",5639,"http://www.imdb.com/title/tt0150433/?ref_=fn_tt_tt_1",55,"India","Unrated",NA,1998,7.8
"67",72,105,103738726,"Dick Tracy ",47819,"http://www.imdb.com/title/tt0099422/?ref_=fn_tt_tt_1",164,"USA","PG",100000000,1990,6.1
"68",152,113,69304264,"The Thomas Crown Affair ",73068,"http://www.imdb.com/title/tt0155267/?ref_=fn_tt_tt_1",419,"USA","R",48000000,1999,6.8
"69",89,132,29781453,"Riding in Cars with Boys ",22447,"http://www.imdb.com/title/tt0200027/?ref_=fn_tt_tt_1",210,"USA","PG-13",48000000,2001,6.4
"70",218,113,76846624,"Alice Through the Looking Glass ",21352,"http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1",131,"USA","PG",170000000,2016,6.4
"71",145,93,NA,"First Blood ",172489,"http://www.imdb.com/title/tt0083944/?ref_=fn_tt_tt_1",376,"USA","R",14000000,1982,7.7
"72",144,115,NA,"Solaris ",54057,"http://www.imdb.com/title/tt0069293/?ref_=fn_tt_tt_1",236,"Soviet Union","PG",1000000,1972,8.1
"73",93,75,15519841,"Happily N'Ever After ",8693,"http://www.imdb.com/title/tt0308353/?ref_=fn_tt_tt_1",71,"USA","PG",47000000,2006,4.5
"74",46,108,5600000,"Mary Reilly ",11913,"http://www.imdb.com/title/tt0117002/?ref_=fn_tt_tt_1",97,"USA","R",47000000,1996,5.8
"75",84,105,126805112,"My Best Friend's Wedding ",98199,"http://www.imdb.com/title/tt0119738/?ref_=fn_tt_tt_1",169,"USA","PG-13",46000000,1997,6.3
"76",142,102,93607673,"America's Sweethearts ",47573,"http://www.imdb.com/title/tt0265029/?ref_=fn_tt_tt_1",343,"USA","PG-13",48000000,2001,5.7
"77",185,118,67263182,"Insomnia ",218771,"http://www.imdb.com/title/tt0278504/?ref_=fn_tt_tt_1",651,"USA","R",46000000,2002,7.2
"78",143,111,92001027,"Star Trek: First Contact ",97838,"http://www.imdb.com/title/tt0117731/?ref_=fn_tt_tt_1",286,"USA","PG-13",45000000,1996,7.6
"79",178,81,10539414,"Jonah Hex ",45729,"http://www.imdb.com/title/tt1075747/?ref_=fn_tt_tt_1",176,"USA","PG-13",47000000,2010,4.7
"80",65,116,58918501,"Courage Under Fire ",40126,"http://www.imdb.com/title/tt0115956/?ref_=fn_tt_tt_1",107,"USA","R",46000000,1996,6.6
"81",227,93,320706665,"Shrek the Third ",211971,"http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1",326,"USA","PG",160000000,2007,6.1
"82",73,86,181395380,"Liar Liar ",220392,"http://www.imdb.com/title/tt0119528/?ref_=fn_tt_tt_1",243,"USA","PG-13",45000000,1997,6.8
"83",72,127,14946229,"The Infiltrator ",2581,"http://www.imdb.com/title/tt1355631/?ref_=fn_tt_tt_1",29,"UK","R",25000000,2016,7.3
"84",10,140,NA,"Inchon ",491,"http://www.imdb.com/title/tt0084132/?ref_=fn_tt_tt_1",16,"South Korea","PG",48000000,1981,2.7
"85",35,91,130512915,"The Flintstones ",60884,"http://www.imdb.com/title/tt0109813/?ref_=fn_tt_tt_1",85,"USA","PG",45000000,1994,4.8
"86",358,98,139852971,"Taken 2 ",238671,"http://www.imdb.com/title/tt1397280/?ref_=fn_tt_tt_1",461,"France","PG-13",45000000,2012,6.3
"87",151,84,110000082,"Scary Movie 3 ",111526,"http://www.imdb.com/title/tt0306047/?ref_=fn_tt_tt_1",347,"USA","PG-13",48000000,2003,5.5
"88",140,109,106807667,"Miss Congeniality ",137377,"http://www.imdb.com/title/tt0212346/?ref_=fn_tt_tt_1",370,"USA","PG-13",45000000,2000,6.2
"89",201,93,101702060,"Journey to the Center of the Earth ",85323,"http://www.imdb.com/title/tt0373051/?ref_=fn_tt_tt_1",212,"USA","PG",45000000,2008,5.8
"90",77,113,95149435,"The Princess Diaries 2: Royal Engagement ",53687,"http://www.imdb.com/title/tt0368933/?ref_=fn_tt_tt_1",152,"USA","G",40000000,2004,5.7
"91",43,141,100768056,"The Pelican Brief ",59569,"http://www.imdb.com/title/tt0107798/?ref_=fn_tt_tt_1",89,"USA","PG-13",45000000,1993,6.5
"92",275,123,46978995,"Warcraft ",111609,"http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1",781,"USA","PG-13",160000000,2016,7.3
"93",39,119,92115211,"The Client ",45798,"http://www.imdb.com/title/tt0109446/?ref_=fn_tt_tt_1",94,"USA","PG-13",45000000,1994,6.7
"94",207,97,93452056,"The Bucket List ",184795,"http://www.imdb.com/title/tt0825232/?ref_=fn_tt_tt_1",310,"USA","PG-13",45000000,2007,7.4
"95",47,117,83287363,"Patriot Games ",81442,"http://www.imdb.com/title/tt0105112/?ref_=fn_tt_tt_1",137,"USA","R",45000000,1992,6.9
"96",132,101,82931301,"Monster-in-Law ",43358,"http://www.imdb.com/title/tt0369735/?ref_=fn_tt_tt_1",228,"Germany","PG-13",60000000,2005,5.5
"97",454,153,60962878,"Prisoners ",383591,"http://www.imdb.com/title/tt1392214/?ref_=fn_tt_tt_1",620,"USA","R",46000000,2013,8.1
"98",109,122,76261036,"Training Day ",305929,"http://www.imdb.com/title/tt0139654/?ref_=fn_tt_tt_1",633,"USA","R",45000000,2001,7.7
"99",213,102,71423726,"Galaxy Quest ",123558,"http://www.imdb.com/title/tt0177789/?ref_=fn_tt_tt_1",609,"USA","PG",45000000,1999,7.3
"100",127,83,71277420,"Scary Movie 2 ",119590,"http://www.imdb.com/title/tt0257106/?ref_=fn_tt_tt_1",548,"USA","R",45000000,2001,5.2
"101",398,103,88625922,"The Muppets ",75176,"http://www.imdb.com/title/tt1204342/?ref_=fn_tt_tt_1",252,"USA","PG",45000000,2011,7.1
"102",184,110,70001065,"Blade ",191437,"http://www.imdb.com/title/tt0120611/?ref_=fn_tt_tt_1",582,"USA","R",45000000,1998,7.1
"103",474,126,89732035,"Terminator Genisys ",188457,"http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1",867,"USA","PG-13",155000000,2015,6.6
"104",127,136,67253092,"Coach Carter ",92702,"http://www.imdb.com/title/tt0393162/?ref_=fn_tt_tt_1",209,"USA","PG-13",30000000,2005,7.2
"105",167,91,66790248,"Changing Lanes ",57281,"http://www.imdb.com/title/tt0264472/?ref_=fn_tt_tt_1",350,"USA","R",45000000,2002,6.5
"106",119,89,65557989,"Anaconda ",73539,"http://www.imdb.com/title/tt0118615/?ref_=fn_tt_tt_1",271,"USA","PG-13",45000000,1997,4.6
"107",155,107,60786269,"Coyote Ugly ",90539,"http://www.imdb.com/title/tt0200550/?ref_=fn_tt_tt_1",379,"USA","PG-13",45000000,2000,5.6
"108",218,129,59365105,"Love Actually ",318634,"http://www.imdb.com/title/tt0314331/?ref_=fn_tt_tt_1",1004,"UK","R",45000000,2003,7.7
"109",117,95,162792677,"A Bug's Life ",211226,"http://www.imdb.com/title/tt0120623/?ref_=fn_tt_tt_1",317,"USA","G",120000000,1998,7.2
"110",208,122,31598308,"From Hell ",124765,"http://www.imdb.com/title/tt0120681/?ref_=fn_tt_tt_1",541,"USA","R",35000000,2001,6.8
"111",38,110,57362581,"The Specialist ",50148,"http://www.imdb.com/title/tt0111255/?ref_=fn_tt_tt_1",116,"Peru","R",45000000,1994,5.4
"112",48,135,53854588,"Tin Cup ",37911,"http://www.imdb.com/title/tt0117918/?ref_=fn_tt_tt_1",73,"USA","R",45000000,1996,6.3
"113",8,111,NA,"Yours, Mine and Ours ",5888,"http://www.imdb.com/title/tt0063829/?ref_=fn_tt_tt_1",61,"USA","Unrated",2500000,1968,7.2
"114",434,169,200069408,"Superman Returns ",240396,"http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1",2367,"USA","PG-13",209000000,2006,6.1
"115",228,113,104383624,"The Chronicles of Narnia: The Voyage of the Dawn Treader ",106446,"http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1",227,"USA","PG",155000000,2010,6.3
"116",94,95,52580895,"Kicking & Screaming ",30255,"http://www.imdb.com/title/tt0384642/?ref_=fn_tt_tt_1",118,"USA","PG",45000000,2005,5.6
"117",276,109,51019112,"The Hitchhiker's Guide to the Galaxy ",155745,"http://www.imdb.com/title/tt0371724/?ref_=fn_tt_tt_1",1053,"USA","PG",50000000,2005,6.8
"118",59,93,48114556,"Fat Albert ",9380,"http://www.imdb.com/title/tt0396592/?ref_=fn_tt_tt_1",91,"USA","PG",26000000,2004,4.3
"119",216,94,50648679,"Resident Evil: Extinction ",149549,"http://www.imdb.com/title/tt0432021/?ref_=fn_tt_tt_1",348,"France","R",45000000,2007,6.3
"120",173,117,46280507,"Blended ",87165,"http://www.imdb.com/title/tt1086772/?ref_=fn_tt_tt_1",184,"USA","PG-13",40000000,2014,6.5
"121",99,112,38360195,"Last Holiday ",21215,"http://www.imdb.com/title/tt0408985/?ref_=fn_tt_tt_1",116,"USA","PG-13",45000000,2006,6.4
"122",42,111,46815748,"The River Wild ",32544,"http://www.imdb.com/title/tt0110997/?ref_=fn_tt_tt_1",69,"USA","PG-13",45000000,1994,6.3
"123",25,96,35617599,"The Indian in the Cupboard ",20688,"http://www.imdb.com/title/tt0113419/?ref_=fn_tt_tt_1",47,"USA","PG",45000000,1995,5.9
"124",339,141,47307550,"Savages ",104301,"http://www.imdb.com/title/tt1615065/?ref_=fn_tt_tt_1",269,"USA","R",45000000,2012,6.5
"125",127,94,32003620,"Cellular ",79141,"http://www.imdb.com/title/tt0337921/?ref_=fn_tt_tt_1",355,"USA","PG-13",25000000,2004,6.5
"126",191,184,198539855,"Pearl Harbor ",254111,"http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1",1999,"USA","PG-13",140000000,2001,6.1
"127",122,87,27972410,"Johnny English ",114692,"http://www.imdb.com/title/tt0274166/?ref_=fn_tt_tt_1",285,"UK","PG",35000000,2003,6.1
"128",105,88,28133159,"The Ant Bully ",30055,"http://www.imdb.com/title/tt0429589/?ref_=fn_tt_tt_1",70,"USA","PG",50000000,2006,5.9
"129",144,177,27400000,"Dune ",97087,"http://www.imdb.com/title/tt0087182/?ref_=fn_tt_tt_1",569,"USA","PG-13",40000000,1984,6.6
"130",156,133,24343673,"Across the Universe ",91860,"http://www.imdb.com/title/tt0445922/?ref_=fn_tt_tt_1",524,"USA","PG-13",45000000,2007,7.4
"131",323,119,22877808,"Revolutionary Road ",152591,"http://www.imdb.com/title/tt0959337/?ref_=fn_tt_tt_1",414,"USA","R",35000000,2008,7.3
"132",199,102,36883539,"16 Blocks ",112769,"http://www.imdb.com/title/tt0450232/?ref_=fn_tt_tt_1",305,"Germany","PG-13",52000000,2006,6.6
"133",164,101,22531698,"Babylon A.D. ",81523,"http://www.imdb.com/title/tt0364970/?ref_=fn_tt_tt_1",214,"France","PG-13",70000000,2008,5.6
"134",39,91,20400913,"The Glimmer Man ",15455,"http://www.imdb.com/title/tt0116421/?ref_=fn_tt_tt_1",80,"USA","R",45000000,1996,5.3
"135",43,117,20101861,"Multiplicity ",24757,"http://www.imdb.com/title/tt0117108/?ref_=fn_tt_tt_1",81,"USA","PG-13",45000000,1996,6
"136",82,86,25200412,"Aliens in the Attic ",16580,"http://www.imdb.com/title/tt0775552/?ref_=fn_tt_tt_1",55,"USA","PG",45000000,2009,5.4
"137",396,144,318759914,"Transformers ",513158,"http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1",1782,"USA","PG-13",150000000,2007,7.1
"138",150,124,19719930,"The Pledge ",42621,"http://www.imdb.com/title/tt0237572/?ref_=fn_tt_tt_1",531,"USA","R",45000000,2001,6.8
"139",168,134,19377727,"The Producers ",35140,"http://www.imdb.com/title/tt0395251/?ref_=fn_tt_tt_1",409,"USA","PG-13",45000000,2005,6.4
"140",432,95,13401683,"Dredd ",203461,"http://www.imdb.com/title/tt1343727/?ref_=fn_tt_tt_1",588,"UK","R",35000000,2012,7.1
"141",60,100,17300889,"The Phantom ",27648,"http://www.imdb.com/title/tt0117331/?ref_=fn_tt_tt_1",148,"Australia","PG",45000000,1996,4.9
"142",85,220,15527125,"All the Pretty Horses ",11388,"http://www.imdb.com/title/tt0149624/?ref_=fn_tt_tt_1",183,"USA","PG-13",57000000,2000,5.8
"143",83,212,13560960,"Nixon ",23996,"http://www.imdb.com/title/tt0113987/?ref_=fn_tt_tt_1",161,"USA","R",50000000,1995,7.1
"144",343,128,15523168,"The Ghost Writer ",132423,"http://www.imdb.com/title/tt1139328/?ref_=fn_tt_tt_1",349,"France","PG-13",45000000,2010,7.2
"145",106,106,11146409,"Deep Rising ",26551,"http://www.imdb.com/title/tt0118956/?ref_=fn_tt_tt_1",273,"USA","R",45000000,1998,6
"146",158,160,7916887,"Miracle at St. Anna ",15697,"http://www.imdb.com/title/tt1046997/?ref_=fn_tt_tt_1",182,"USA","R",45000000,2008,6
"147",189,114,6565495,"Curse of the Golden Flower ",36455,"http://www.imdb.com/title/tt0473444/?ref_=fn_tt_tt_1",229,"China","R",45000000,2006,7
"148",248,206,34293771,"Alexander ",138863,"http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1",1390,"Germany","R",155000000,2004,5.5
"149",125,99,15279680,"Bangkok Dangerous ",48245,"http://www.imdb.com/title/tt0814022/?ref_=fn_tt_tt_1",154,"USA","R",40000000,2008,5.4
"150",87,74,7262288,"Big Trouble ",17307,"http://www.imdb.com/title/tt0246464/?ref_=fn_tt_tt_1",186,"USA","PG-13",40000000,2002,6.5
"151",115,139,4584886,"Love in the Time of Cholera ",19114,"http://www.imdb.com/title/tt0484740/?ref_=fn_tt_tt_1",115,"USA","R",45000000,2007,6.4
"152",23,52,NA,"The Returned ",15762,"http://www.imdb.com/title/tt2521668/?ref_=fn_tt_tt_1",47,"France","TV-MA",NA,NA,8.3
"153",24,103,2154540,"Shadow Conspiracy ",3803,"http://www.imdb.com/title/tt0120107/?ref_=fn_tt_tt_1",41,"USA","R",45000000,1997,4.9
"154",152,101,8129455,"Johnny English Reborn ",89568,"http://www.imdb.com/title/tt1634122/?ref_=fn_tt_tt_1",142,"USA","PG",45000000,2011,6.3
"155",12,91,NA,"Foodfight! ",4377,"http://www.imdb.com/title/tt0249516/?ref_=fn_tt_tt_1",66,"USA","PG",65000000,2012,1.7
"156",656,130,136019448,"Argo ",452465,"http://www.imdb.com/title/tt1024648/?ref_=fn_tt_tt_1",695,"USA","R",44500000,2012,7.7
"157",119,130,183875760,"The Fugitive ",213668,"http://www.imdb.com/title/tt0106977/?ref_=fn_tt_tt_1",270,"USA","PG-13",44000000,1993,7.8
"158",161,110,67061228,"The Bounty Hunter ",96565,"http://www.imdb.com/title/tt1038919/?ref_=fn_tt_tt_1",135,"USA","PG-13",40000000,2010,5.5
"159",329,138,292000866,"Harry Potter and the Order of the Phoenix ",355137,"http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1",1108,"UK","PG-13",150000000,2007,7.5
"160",73,147,53300852,"Sleepers ",154487,"http://www.imdb.com/title/tt0117665/?ref_=fn_tt_tt_1",259,"USA","R",44000000,1996,7.5
"161",96,96,150415432,"Rambo: First Blood Part II ",117606,"http://www.imdb.com/title/tt0089880/?ref_=fn_tt_tt_1",217,"USA","R",44000000,1985,6.4
"162",28,118,44834712,"The Juror ",13995,"http://www.imdb.com/title/tt0116731/?ref_=fn_tt_tt_1",62,"USA","R",44000000,1996,5.6
"163",105,88,84300000,"Pinocchio ",90360,"http://www.imdb.com/title/tt0032910/?ref_=fn_tt_tt_1",147,"USA","Approved",2600000,1940,7.5
"164",102,325,1500000,"Heaven's Gate ",9830,"http://www.imdb.com/title/tt0080855/?ref_=fn_tt_tt_1",189,"USA","R",44000000,1980,6.8
"165",206,102,62318875,"Underworld: Evolution ",156225,"http://www.imdb.com/title/tt0401855/?ref_=fn_tt_tt_1",502,"USA","R",50000000,2006,6.8
"166",159,110,5773519,"Victor Frankenstein ",28618,"http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1",91,"USA","PG-13",40000000,2015,6
"167",137,136,51768623,"Finding Forrester ",73006,"http://www.imdb.com/title/tt0181536/?ref_=fn_tt_tt_1",297,"USA","PG-13",43000000,2000,7.3
"168",116,103,37035515,"28 Days ",34597,"http://www.imdb.com/title/tt0191754/?ref_=fn_tt_tt_1",194,"USA","PG-13",43000000,2000,6
"169",177,103,24520892,"Unleashed ",85198,"http://www.imdb.com/title/tt0342258/?ref_=fn_tt_tt_1",303,"France","R",45000000,2005,7
"170",295,157,289994397,"Harry Potter and the Goblet of Fire ",385670,"http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1",1896,"UK","PG-13",150000000,2005,7.6
"171",99,90,24430272,"The Sweetest Thing ",46158,"http://www.imdb.com/title/tt0253867/?ref_=fn_tt_tt_1",403,"USA","R",43000000,2002,5.1
"172",56,154,158348400,"The Firm ",88844,"http://www.imdb.com/title/tt0106918/?ref_=fn_tt_tt_1",142,"USA","R",42000000,1993,6.8
"173",117,99,31136950,"Charlie St. Cloud ",47364,"http://www.imdb.com/title/tt1438254/?ref_=fn_tt_tt_1",75,"USA","PG-13",44000000,2010,6.5
