INDX_NR,INCIDENT_DATE ,INCIDENT_MONTH,INCIDENT_YEAR,TIME,TIME_OF_DAY,AIRPORT_ID,AIRPORT,RUNWAY,LOCATION,ENROUTE STATE,OPID,OPERATOR,REG,FLT,AIRCRAFT,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,PHASE_OF_FLIGHT,HEIGHT,SPEED,DISTANCE,SKY,PRECIPITATION,AOS,COST_REPAIRS,OTHER_COST,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,INGESTED,INDICATED_DAMAGE,DAMAGE_LEVEL,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,SPECIES_ID,SPECIES,REMARKS,REMAINS_COLLECTED,REMAINS_SENT,WARNED,BIRDS_SEEN,BIRDS_STRUCK,SIZE,NR_INJURIES,NR_FATALITIES,COMMENT,SOURCE,PERSON,SINGLE_OR_MULTI_ENGINE,HOUR,MONTH_NAME,SPECIES_GENERALIZE,SPECIES_TYPE
1062620,2020-10-23,10,2020,     ,,KGSO,PIEDMONT TRIAD INTL, 23L,,,UNK,UNKNOWN, , ,UNKNOWN,,,,,,,,,,,,0.0,,,,,,,,False,False,,,,,ZT002,Western meadowlark,Bird found on service road on 23L approach,True,False,Unknown, , 1,Small,,,,FAA Form 5200-7-E,Carcass Found,Multi-engine,,October,Western meadowlark,Land animal
1062552,2020-10-22,10,2020,18:21,Dusk,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 36C,,,JIA,PSA AIRLINES, N553NN, 5089,CRJ900,188,17.0,22.0,4.0,A  ,4.0,D,2.0,Climb,200.0,,,,,,,,,,False,False,,PART NOT REPORTED,,,UNKB,Unknown bird,Flight crew reported to CLT Air Traffic Control that the aircraft struck a bird at 200ft AGL during takeoff climb from Rwy 36C at KCLT.  The flight continued to its destination (KTYS) and landed without incident.  CLT Airside Ops personnel inspected the departure runway but did not find any remains from the strike.  TYS Airport Operations staff were contacted while the aircraft was en route and were able to dispatch personnel to the arrival aircraft and collect a tissue sample for species ID.  No damage was reported. NOTE: WAITING FOR SI ID AS OF 11.5.20.,True,False,Yes, , 1,,,,,FAA Form 5200-7-E,Airport Operations,Multi-engine,18.0,October,Unknown flying animal,Flying animal
1062378,2020-10-19,10,2020,22:11,Night,KRDU,RALEIGH-DURHAM INTL, ,,,AAL,AMERICAN AIRLINES, N740UW, 1605,A-319,04A,6.0,10.0,1.0,A  ,4.0,D,2.0,Approach,1500.0,133.0,4.0,No Cloud, None,,,,,,False,False,N,, None,,UNKBS,Unknown bird - small,,False,False,Yes, 1, 1,Small,,,,FAA Form 5200-7-E,Pilot,Multi-engine,22.0,October,Unknown flying animal,Flying animal
1077992,2020-10-18,10,2020,08:15,Dawn,KILM,WILMINGTON INTL, 6,,,AWI,AIR WISCONSIN AIRLINES, N443AW, 3811,CRJ100/200,188,10.0,22.0,4.0,A  ,3.0,D,2.0,Take-off Run,0.0,140.0,0.0,,,,,,,,False,False,N,,,,K3302,Red-tailed hawk,"Pilot reported the bird struck the nose on departure, no report of damage. Bird located midfield 6R & 24R",True,False,Unknown, , 1,Medium,,,*** Strike Report: XXXX-XX-XX-XXXXXX-RX( Report ID: XXXXXXX  [ Comment: ] )  Merged From XXXX-XX-XX-XXXXXX-RX( Report ID: XXXXXXX  [ Comment: ] ) on Nov XX XXXX  X:XXPM By phyllis.r.miller@usda.gov ***   ,FAA Form 5200-7-E,Pilot,Multi-engine,8.0,October,Red-tailed hawk,Land animal
1067284,2020-10-17,10,2020,22:50,Night,KOAJ,ALBERT J ELLIS, 5,,,EDV,ENDEAVOR AIR, N183GJ, 4726,CRJ900,188,17.0,22.0,4.0,A  ,4.0,D,2.0,Approach,1000.0,135.0,3.0,No Cloud, None,,,,,,False,False,N,, None,,Q21,Cuckoos,PHOTO. SI ID= Unidentified species of cuckoo. No DNA in sample. Microstructure is cuckoo.,True,True,Unknown, , 1,Small,,,,FAA Form 5200-7-E,Airport Operations,Multi-engine,22.0,October,Cuckoos,Land animal
1066845,2020-10-15,10,2020,14:00,,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 18C,,,UNK,UNKNOWN, , ,UNKNOWN,,,,,,,,,,,,0.0,,,,,,,,False,False,,,,,T1002,Chimney swift,"One small bird carcass was found by Airfield Maintenance personnel on runway 18C at the taxiway E3 intersection.  CLT Airside Ops personnel responded and retrieved the carcass.  No aircraft reported striking wildlife to CLT Airside Ops, therefore it is unknown what aircraft struck the bird.  A feather sample was collected from the carcass found and sent to the Smithsonian for analysis. DAY. ",True,True,Unknown, , 1,Small,,,,FAA Form 5200-7-E,Carcass Found,Multi-engine,14.0,October,Chimney swift,Land animal
1061522,2020-10-15,10,2020,21:17,Night,KAVL,ASHEVILLE REGIONAL ARPT, 17,,,AAY,ALLEGIANT AIR, N243NV, 2056,A-320,04A,3.0,10.0,1.0,A  ,4.0,D,2.0,Landing Roll,0.0,120.0,0.0,No Cloud, None,,,,,,False,False,N,, None,,UNKBS,Unknown bird - small,,False,False,No, 1, 1,Small,,,*** Strike Report: XXXX-XX-XX-XXXXXX-RX( Report ID: XXXXXXX  [ Comment: ] )  Merged From XXXX-XX-XX-XXXXXX-RX( Report ID: XXXXXXX  [ Comment: ] ) on Oct XX XXXX  X:XXPM By mahalah.e.schank@usda.gov ***   ,FAA Form 5200-7-E,Airport Operations,Multi-engine,21.0,October,Unknown flying animal,Flying animal
1061397,2020-10-14,10,2020,05:15,,KRDU,RALEIGH-DURHAM INTL, 5L,,,UPS,UPS AIRLINES, N288UP, 1276,MD-11,583,39.0,34.0,46.0,A  ,4.0,D,3.0,Approach,,,,No Cloud, None,,,,,,False,False,N,, None,,Z6016,Gray-cheeked thrush,Impact was above left hand cockpit fixed window.,True,True,Unknown, , 1,Small,,,,FAA Form 5200-7-E,Air Transport Operations,Multi-engine,5.0,October,Gray-cheeked thrush,Flying animal
1067429,2020-10-14,10,2020,07:29,Dawn,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 36L,,,AAL,AMERICAN AIRLINES, N725UW, 647,A-319,04A,6.0,10.0,1.0,A  ,4.0,D,2.0,Approach,1200.0,130.0,,No Cloud, None,,,,,,False,False,N,, None,,T1002,Chimney swift,"CLT AIRSIDE OPS REMARKS - Aircraft landed without incident after reporting a bird strike during approach to land on runway 36L.  Evidence of the strike was found on the nose/radome during post-flight inspection.  CLT Airside Ops personnel collected a tissue sample from the remains found that was sent to the Smithsonian for analysis.  Inspection of the arrival runway was also completed but no other remains/evidence was found.  No damage was found on the aircraft. Bird strike at the top of the radome, just below the CA windshield. No damage observed.",True,True,Unknown, , 1,Small,,,,FAA Form 5200-7-E,Pilot,Multi-engine,7.0,October,Chimney swift,Land animal
1067507,2020-10-13,10,2020,09:00,Night,KILM,WILMINGTON INTL, 35,,,AAL,AMERICAN AIRLINES, N556NN, 5397,CRJ900,188,17.0,22.0,4.0,A  ,4.0,D,2.0,Approach,2000.0,170.0,,No Cloud, None,,,,,,False,False,N,, None,,ZS004,Black-and-white warbler,,True,True,Unknown, 1, 1,Small,,,,FAA Form 5200-7-E,Airport Operations,Multi-engine,9.0,October,Black-and-white warbler,Flying animal
1067555,2020-10-13,10,2020,23:13,Night,KILM,WILMINGTON INTL, 35,,,ENY,ENVOY AIR, N208AN, 3996,EMB-170,332,,22.0,4.0,A  ,4.0,D,2.0,Approach,1000.0,200.0,,No Cloud, None,2.0,,,,,False,False,N,, None,,ZX302,Swamp sparrow,,True,True,Unknown, , 1,Small,,,*** Strike Report: XXXX-XX-XX-XXXXXX-RX( Report ID: XXXXXXX  [ Comment: revised wildlife identification] )  Merged From XXXX-XX-XX-XXXXXX-RX( Report ID: XXXXXXX  [ Comment: ] ) on Nov XX XXXX  X:XXAM By mahalah.e.schank@usda.gov ***   ,FAA Form 5200-7-E,Airport Operations,Multi-engine,23.0,October,Swamp sparrow,Land animal
1067497,2020-10-13,10,2020,16:32,Day,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 36R,,,JIA,PSA AIRLINES, N600NN, 5062,CRJ900,188,17.0,22.0,4.0,A  ,4.0,D,2.0,Approach,,,,,,,,,,,False,False,N,,,,UNKB,Unknown bird,"Inbound flight crew reported to CLT Air Traffic Control (tower frequency) that the aircraft struck a bird on the left wing during approach to land on runway 36R.  Aircraft continued approach and landing without incident.  CLT Airside Operations was not informed of the strike from either Air Traffic Control or PSA Airlines, therefore no sample was collected for species identification.  Other details are unknown/unreported.  CLT Airside Ops was informed of the strike via email forward of FAA notification from Airport Safety Certification Inspector. Left wing.",False,False,Yes, , 1,,,,,FAA Form 5200-7-E,Airport Operations,Multi-engine,16.0,October,Unknown flying animal,Flying animal
1067757,2020-10-12,10,2020,09:27,Day,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 36R,,,AAL,AMERICAN AIRLINES, N551UW, 1539,A-321,04A,7.0,23.0,,A  ,4.0,D,2.0,Climb,,,,Overcast, None,,,,,,False,False,,PART NOT REPORTED, None,,UNKB,Unknown bird,Outbound flight crew reported to CLT Air Traffic Control that the aircraft struck a bird during departure from runway 36R at KCLT.  The flight continued to its destination (KEWR) and landed without incident.  CLT Airside Ops personnel responded to the departure runway and completed an inspection but did not find any remains for collection/species ID.  Contacted Airport Wildlife Biologist at EWR via email and was informed they were not informed of the strike and therefore no remains were collected for species ID.  Other details are unknown/unreported.,False,False,Yes, , 1,,,,,FAA Form 5200-7-E,Airport Operations,Multi-engine,9.0,October,Unknown flying animal,Flying animal
1067670,2020-10-12,10,2020,11:00,,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 36L,,,UNK,UNKNOWN, , ,UNKNOWN,,,,,,,,,,,,0.0,,,,,,,,False,False,,Unknown.,,,1C2,Microbats,"One bat carcass was found and retrieved by CLT Airside Ops personnel during daily airfield inspection on runway 36L at the Twy W3 intersection.  No aircraft reported striking wildlife to CLT Airside Ops, therefore it is unknown what aircraft struck the bat. Unidentified species of bat.",True,False,Unknown, , 1,Small,,,,FAA Form 5200-7-E,Carcass Found,Multi-engine,11.0,October,Microbats,Land animal
1067776,2020-10-12,10,2020,11:35,Day,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 36R,,,JIA,PSA AIRLINES, N554NN, 5246,CRJ900,188,17.0,22.0,4.0,A  ,4.0,D,2.0,Approach,2000.0,,2.0,Overcast, None,,,,,,False,False,N,, None,,T1002,Chimney swift,The inbound flight crew reported that the aircraft struck a bird approximately 2 miles from KCLT at approximately 2000ft AGL during final approach to land on runway 36R.  Aircraft continued approach and landing without incident.  Evidence of the strike was found on the left side of the fuselage below the Captain's side windshield during post flight inspection.  CLT Airside Ops personnel collected a tissue sample from the remains found that was sent to the Smithsonian for analysis.  Inspection of the arrival runway was also completed but no other remains/evidence was found.  No damage was found on the aircraft. Left side of fuselage below captain's windshield.,True,True,Yes, , 1,Small,,,,FAA Form 5200-7-E,Airport Operations,Multi-engine,11.0,October,Chimney swift,Land animal
1067675,2020-10-12,10,2020,08:00,,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 36R,,,UNK,UNKNOWN, , ,UNKNOWN,,,,,,,,,,,,0.0,,,,,,,,False,False,,,,,ZX102,Northern cardinal,"One small bird carcass was found and retrieved by CLT Airside Ops personnel during daily airfield inspection on runway 36R at the taxiway D5 intersection.  No aircraft reported striking wildlife to CLT Airside Ops, therefore it is unknown what aircraft struck the bird.  A feather sample was collected from the remains found that was sent to the Smithsonian for species ID.",True,True,Unknown, , 1,Small,,,,FAA Form 5200-7-E,Carcass Found,Multi-engine,8.0,October,Northern cardinal,Land animal
1067749,2020-10-12,10,2020,22:10,Night,KGSO,PIEDMONT TRIAD INTL, 23L,,,FDX,FEDEX EXPRESS, N144FE, 1248,B-767-300,148,97.0,22.0,7.0,A  ,4.0,D,2.0,Climb,3000.0,210.0,3.0,Overcast, None,,,,,,False,False,N,, None,,UNKBS,Unknown bird - small,,False,False,Unknown, , 1,Small,,,,FAA Form 5200-7-E,Pilot,Multi-engine,22.0,October,Unknown flying animal,Flying animal
1067676,2020-10-12,10,2020,08:00,,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 36R,,,UNK,UNKNOWN, , ,UNKNOWN,,,,,,,,,,,,0.0,,,,,,,,False,False,,Unknown.,,,S5213,Common nighthawk,"One small bird carcass was found and retrieved by CLT Airside Ops personnel during daily airfield inspection on runway 36R at the taxiway D9 intersection.  No aircraft reported striking wildlife to CLT Airside Ops, therefore it is unknown what aircraft struck the bird.  A feather sample was collected from the remains found and sent to the Smithsonian for analysis.",True,True,Unknown, , 1,Small,,,,FAA Form 5200-7-E,Carcass Found,Multi-engine,8.0,October,Common nighthawk,Land animal
1067672,2020-10-12,10,2020,09:18,,KILM,WILMINGTON INTL, 24R,,,UNK,UNKNOWN, , ,UNKNOWN,,,,,,,,,,,,0.0,,,,,,,,False,False,,,,,K5114,American kestrel,,True,True,Unknown, , 1,Small,,,,FAA Form 5200-7-E,Carcass Found,Multi-engine,9.0,October,American kestrel,Flying animal
1067734,2020-10-11,10,2020,16:43,Day,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 18L,,,JIA,PSA AIRLINES, N576NN, 5640,CRJ900,188,17.0,22.0,4.0,A  ,4.0,D,2.0,Landing Roll,0.0,,0.0,Some Cloud, None,,,,,,False,False,N,, None,,UNKB,Unknown bird,Inbound flight crew reported that the aircraft struck a bird during arrival on Rwy 18L and continued landing without incident.  Evidence of the strike was reportedly found on the windshield of the aircraft.  CLT Airside Ops personnel responded to the aircraft at the gate but a sample was not collected for species ID for unknown reasons.  Inspection of the arrival runway was completed but no remains/evidence was found.  No damage was reported on the aircraft.,False,False,Yes, , 1,,,,,FAA Form 5200-7-E,Airport Operations,Multi-engine,16.0,October,Unknown flying animal,Flying animal
1067635,2020-10-10,10,2020,15:09,Day,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 36C,,,AAL,AMERICAN AIRLINES, N199UW, 2001,A-321,04A,7.0,10.0,1.0,A  ,4.0,D,2.0,Approach,,,,Overcast, None,,,,,,False,False,N,, None,,T1002,Chimney swift,Flight Crew reported that the aircraft struck a bird during approach to land on runway 36C at KCLT.  Aircraft continued landing without incident.  Evidence of the strike was found on the FO's side window during inspection between flights.  CLT Airside Ops personnel collected a tissue sample from the remains found that was sent to the Smithsonian for analysis.  Inspection of the arrival runway was also completed but no other remains/evidence was found.  No damage was found on the aircraft.,True,True,Yes, , 1,Small,,,,FAA Form 5200-7-E,Airport Operations,Multi-engine,15.0,October,Chimney swift,Land animal
1067623,2020-10-10,10,2020,     ,Day,KAVL,ASHEVILLE REGIONAL ARPT, 35,,,AWI,AIR WISCONSIN AIRLINES, N429AW, ,CRJ100/200,188,10.0,22.0,4.0,A  ,3.0,D,2.0,Landing Roll,0.0,120.0,0.0,Overcast, Rain,,,,,,False,True,M,,,,UNKBS,Unknown bird - small,PAINT DAMAGE,False,False,No, 11-100, 2-10,Small,,,,FAA Form 5200-7-E,Tower,Multi-engine,,October,Unknown flying animal,Flying animal
1067590,2020-10-09,10,2020,04:03,Night,KGSO,PIEDMONT TRIAD INTL, 5R,,,FDX,FEDEX EXPRESS, N921FE, ,B-757-200,148,26.0,37.0,37.0,A  ,4.0,D,2.0,Approach,500.0,,,No Cloud,,,,,,,False,False,N,,,,UNKB,Unknown bird,ASSUME 1 STRUCK,False,False,Unknown, , 1,,,,,FAA Form 5200-7-E,Other,Multi-engine,4.0,October,Unknown flying animal,Flying animal
1067608,2020-10-09,10,2020,18:01,Dusk,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 36R,,,AAL,AMERICAN AIRLINES, N93003, 404,A-319,04A,6.0,,,A  ,4.0,D,2.0,Approach,350.0,,,Overcast, None,,,,,,False,False,N,, None,,T1002,Chimney swift,"The inbound flight crew reported to CLT ATC that the aircraft struck a couple of birds during final approach to land on runway 36R.  Aircraft continued landing without incident.  Evidence of two strikes were found on the aircraft during post-flight inspection: one on the fuselage above the cockpit windshield, and one on the tail's vertical stabilizer.  CLT Airside Ops personnel responded and were able to collect a tissue sample from the strike above the cockpit windshield which was sent to the Smithsonian for analysis.  Unable to obtain a sample from the strike identified on the tail due to inability to access that part of the aircraft.  The inbound Flight Crew was present and confirmed the strikes occurred at 350ft AGL during short-final approach to land.  Inspection of the arrival runway was also completed but no other remains/evidence was found.  No damage was found on the aircraft. Two strikes: one on the fuselage above the cockpit windshield, one on the tail's vertical stabilizer.",True,True,Yes, 2-10, 2-10,Small,,,,FAA Form 5200-7-E,Airport Operations,Multi-engine,18.0,October,Chimney swift,Land animal
1066857,2020-10-07,10,2020,11:21,Day,KILM,WILMINGTON INTL, 35,,,AAL,AMERICAN AIRLINES, N65AE, 6087,CRJ100/200,188,10.0,22.0,4.0,A  ,3.0,D,2.0,Landing Roll,0.0,90.0,0.0,Some Cloud, None,,,,,,False,False,,PART NOT REPORTED, None,,K33,Hawks,No damage (reported by piedmont to ATCT). Baby Hawk,False,False,Unknown, , 1,Medium,,,,FAA Form 5200-7-E,Airport Operations,Multi-engine,11.0,October,Hawks,Flying animal
1066720,2020-10-06,10,2020,05:10,,KRDU,RALEIGH-DURHAM INTL, 5L,,,UPS,UPS AIRLINES, N255UP, 1276,MD-11,583,39.0,22.0,7.0,A  ,4.0,D,3.0,Approach,,,,No Cloud, None,,,,,,False,False,N,, None,,ZS035,Bay-breasted warbler,Midspan of left hand outboard flap.,True,True,Unknown, , 1,Small,,,,FAA Form 5200-7-E,Air Transport Operations,Multi-engine,5.0,October,Bay-breasted warbler,Flying animal
1066653,2020-10-05,10,2020,03:53,,KRDU,RALEIGH-DURHAM INTL, 5R,,,UNK,UNKNOWN, , ,UNKNOWN,,,,,,,,,,,,0.0,,,,,,,,False,False,,,,,ZT001,Eastern meadowlark,Bird found on RWY 5R after pilot reporting multiple birds during take off roll. Aircraft was unknown or reported strike. PHOTO. ASSUME EASTERN MEADOWLARK.,True,False,Unknown, , 1,Small,,,,FAA Form 5200-7-E,Carcass Found,Multi-engine,3.0,October,Eastern meadowlark,Flying animal
1066598,2020-10-03,10,2020,10:15,,KEWN,COASTAL CAROLINA REGIONAL ARPT, 4,,,EGF,AMERICAN EAGLE AIRLINES, 10309, ,CRJ700,188,16.0,22.0,4.0,A  ,4.0,D,2.0,Approach,400.0,125.0,,Some Cloud, None,,,,,,False,False,N,, None,,N5111,Killdeer,ASSUME 1 STRUCK,True,True,Unknown, 1, 1,Small,,,,FAA Form 5200-7-E,Airport Operations,Multi-engine,10.0,October,Killdeer,Flying animal
1061477,2020-10-02,10,2020,23:40,Night,KGSO,PIEDMONT TRIAD INTL, 5R,,,FDX,FEDEX EXPRESS, N994FD, 1059,B-757-200,148,26.0,37.0,37.0,A  ,4.0,D,2.0,Approach,2500.0,200.0,6.0,Some Cloud, None,,,,,,False,False,N,, None,,UNKBM,Unknown bird - medium,,False,False,No, 1, 1,Medium,,,,FAA Form 5200-7-E,Pilot,Multi-engine,23.0,October,Unknown flying animal,Flying animal
1061488,2020-10-02,10,2020,01:00,Night,KGSO,PIEDMONT TRIAD INTL, 5R,,,FDX,FEDEX EXPRESS, N930FD, 1041,B-757-200,148,26.0,,,A  ,4.0,D,2.0,Approach,3000.0,248.0,15.0,Overcast, Rain,,,,,,False,False,N,,,,UNKB,Unknown bird,15 miles NE. ASSUME 1 STRUCK.,False,False,Unknown, , 1,,,,,FAA Form 5200-7-E,Pilot,Multi-engine,1.0,October,Unknown flying animal,Flying animal
1061519,2020-10-02,10,2020,08:00,Day,KAVL,ASHEVILLE REGIONAL ARPT, 35,,,UAL,UNITED AIRLINES, , ,UNKNOWN,,,,,,,,,Take-off Run,0.0,,0.0,No Cloud, None,,,,,,False,False,,PART NOT REPORTED, None,,YI,Swallows,,True,False,Unknown, 2-10, 2-10,Small,,,,FAA Form 5200-7-E,Airport Operations,Multi-engine,8.0,October,Swallows,Flying animal
1061549,2020-10-02,10,2020,07:53,Dawn,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 36R,,,AAL,AMERICAN AIRLINES, N881NN, 2670,B-737-800,148,43.0,10.0,1.0,A  ,4.0,D,2.0,Approach,800.0,,,No Cloud, None,,,,,,False,False,N,, None,,UNKB,Unknown bird,Inbound flight crew reported to CLT Air Traffic Control that they saw and struck one bird at 800ft AGL during approach to land on runway 36R at KCLT.  Aircraft continued landing without incident.  Strike was reported to have occurred on the aircraft's windshield.  CLT Airside Ops personnel responded to the aircraft's gate to collect information and sample for species ID but were unable to find remains to collect from.  Unclear if the strike resulted in no remains left on the aircraft or if they were cleaned off and discarded before arrival.  Inspection of the arrival runway was also completed but no other remains/evidence was found.  No damage was found on the aircraft.,False,False,Yes, 1, 1,,,,,FAA Form 5200-7-E,Airport Operations,Multi-engine,7.0,October,Unknown flying animal,Flying animal
